GCP PSOE,Your threat hunting team has developed a hypothesis that attackers are using a specific pattern of low-prevalence domains for command and control communication. You want to create a YARA-L rule in Google Security Operations (SecOps) that identifies network connections to domains that have been accessed by only one internal asset in your environment. Which enrichment field should you use in your detection rule?,Use the target.domain.reputation_score field to filter for domains with unknown reputation indicating low prevalence.,Query the graph.entity.domain.first_seen_timestamp to identify newly observed domains in the environment.,Create a reference list of known low-prevalence domains and match network events against this static list.,Use the graph.entity.domain.prevalence.rolling_max field set to 1 to identify domains with minimal internal access over a 10-day rolling window.,4,"Google SecOps calculates prevalence statistics that indicate how many unique internal assets have accessed a given domain. The rolling_max field represents the maximum daily prevalence score over the previous 10-day window. A value of 1 indicates the domain was accessed by only one internal asset, which is characteristic of potential C2 infrastructure. Reference: https://cloud.google.com/chronicle/docs/event-processing/data-enrichment"
GCP PSOE,Your SOC team needs to share a custom Google Security Operations (SecOps) dashboard with another team that operates a separate SecOps instance in a different region. The dashboard contains custom threat visualization charts. What is the correct procedure to accomplish this?,Export the dashboard to a JSON file from your instance and have the other team import the JSON file into their SecOps instance.,Export the dashboard LookML code and provide it to the other team to import into their Looker-based dashboard system.,Configure Workforce Identity Federation to enable cross-instance dashboard access between the two SecOps deployments.,Share the dashboard URL with the other team and grant them viewer access through the dashboard sharing settings.,1,Google SecOps native dashboards can be exported to JSON files that contain the dashboard layout and filter settings. These JSON files can then be imported into another SecOps instance. This is the supported method for sharing dashboards across instances. Reference: https://cloud.google.com/chronicle/docs/reports/manage-native-dashboards
GCP PSOE,"Your organization has deployed multiple Event Threat Detection custom modules to detect connections to IOCs from various threat intelligence feeds. During a security incident, you notice that expected findings are not appearing for some IOC matches. You suspect the custom modules may have exceeded a quota limit. What is the default quota limit for custom module findings per parent resource per hour in Event Threat Detection?",200 findings per parent resource (organization or project) per hour,Unlimited findings with a rate limit of 10 findings per second,50 findings per custom module per hour,1000 findings per parent resource (organization or project) per hour,1,"Event Threat Detection custom modules have a quota limit of 200 custom module findings per parent resource per hour. Each finding counts towards either the organization or project quota, depending on which level the source custom module was created. This limit cannot be increased, so organizations with high-volume detection needs should design their custom modules accordingly. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-etd-overview"
GCP PSOE,"After configuring a log sink to route security-relevant logs to a Cloud Storage bucket for forensic evidence collection, you discover that the sink was created 3 days after the security incident began. You need to preserve the historical logs from the 3-day gap that were stored in the Cloud Logging _Default bucket. What should you do?",Use the gcloud logging copy command to copy the historical logs from the _Default bucket to the Cloud Storage bucket.,Modify the sink to use a backdated filter to capture logs from the 3-day period before the sink was created.,Export the logs using the Logs Explorer to a local file and manually upload them to the Cloud Storage bucket.,Contact Google Cloud Support to request extraction of the missing logs from Cloud Logging internal archives.,1,Cloud Logging provides the ability to retroactively copy log entries that are already stored in log buckets to Cloud Storage buckets using the copy logs feature. This allows recovery of logs from the gap period before the sink was configured. Reference: https://cloud.google.com/logging/docs/routing/copy-logs
GCP PSOE,Your company must comply with SEC Rule 17a-4(f) requirements for retaining security logs for 7 years in an immutable format. You are configuring a Cloud Storage bucket as the destination for security logs routed via Cloud Logging sinks. Which Cloud Storage configuration should you implement to meet the immutability requirement?,Configure the Cloud Storage bucket with Archive storage class and set object retention to 7 years.,Configure a retention policy on the Cloud Storage bucket with a 7-year retention period and lock the policy.,Enable Object Versioning on the Cloud Storage bucket and configure a lifecycle policy to retain versions for 7 years.,Enable customer-managed encryption keys (CMEK) and configure Cloud KMS key rotation every 90 days.,2,"Bucket Lock with a locked retention policy ensures objects cannot be deleted or modified until the retention period expires. Once locked, the policy cannot be removed or reduced, meeting WORM (Write Once Read Many) requirements for SEC Rule 17a-4(f), CFTC Rule 1.31(c)-(d), and FINRA Rule 4511(c) compliance. Reference: https://cloud.google.com/storage/docs/bucket-lock"
GCP PSOE,"You are establishing a data classification baseline across your organization's Cloud Storage buckets using Sensitive Data Protection. After running discovery scans, you notice that some buckets show a data risk level of 'Unknown.' What is the most likely cause of this status?","The data in the buckets could not be scanned successfully, making it uncertain whether sensitive data exists.","The buckets contain only public data with no access restrictions, resulting in undefined risk classification.","The buckets have been configured with automatic tagging enabled, which sets the data risk level to a placeholder status until reviewed.",The infoTypes specified in the inspection template do not match any data patterns in the buckets.,1,"According to Sensitive Data Protection documentation, an 'Unknown' data risk level indicates that the data couldn't be scanned successfully, leaving uncertainty about whether sensitive data exists. This can occur due to permission issues, unsupported file types, or other scanning failures. Reference: https://cloud.google.com/sensitive-data-protection/docs/sensitivity-risk-calculation"
GCP PSOE,"You have configured a user-defined log-based metric to count IAM policy changes for security monitoring. When you create an alerting policy based on this metric, you notice false notifications occurring due to gaps in the metric data. You need to reduce false notifications while maintaining effective security alerting. What should you do?",Increase the rolling window value in the alerting policy configuration to at least 10 minutes.,Configure the alerting policy to use metric-absence condition type instead of threshold condition.,Enable auto extraction on the log-based metric to fill in missing data points automatically.,Set the retest window to zero for the most responsive alerting policy configuration.,1,"Log-based metric data can have gaps that result in false notifications. Increasing the rolling window value reduces the risk of false notifications by aggregating data over a longer period, ensuring that multiple log entries matching the filter are counted before the condition is evaluated. Reference: https://cloud.google.com/logging/docs/logs-based-metrics/charts-and-alerts"
GCP PSOE,Your security team needs to monitor for IAM policy changes that grant sensitive roles. You want to be notified immediately when a log entry containing 'SetIamPolicy' with the 'roles/owner' role appears in your audit logs. What is the most appropriate alerting approach?,Configure Event Threat Detection in Security Command Center to detect IAM policy changes and create findings.,Create a log-based alerting policy from the Logs Explorer with a filter that matches Admin Activity audit log entries containing SetIamPolicy and roles/owner.,Create a user-defined counter metric for SetIamPolicy events and configure an alerting policy with a threshold greater than zero.,Create a SQL-based alerting policy that queries for SetIamPolicy events with roles/owner in the admin activity logs.,2,Log-based alerting policies scan individual log entries in near real time and send notifications when specific message patterns appear. This approach is ideal for detecting individual security-relevant events like IAM policy changes granting owner access. Reference: https://cloud.google.com/logging/docs/alerting/log-based-alerts
GCP PSOE,You are writing a YARA-L detection rule in Google Security Operations (SecOps) to identify multiple failed login attempts by the same user within a 10-minute window. The rule should generate a detection only when 5 or more failed logins occur. Which YARA-L rule structure correctly implements this detection logic?,Use the outcome section to set a counter variable and reference it in a separate aggregation rule that evaluates the threshold.,Create five separate event variables ($e1 through $e5) and specify all five must exist in the condition section within the time window.,"Use a match section with the user variable and 'over 10m', then specify '#e >= 5' in the condition section to count event occurrences.",Use a condition section with 'count($e) >= 5' and specify the 10-minute window using a timestamp comparison in the events section.,3,"YARA-L uses the match section to specify time windows and variables to group by, and the condition section uses the '#' operator to count event occurrences. The syntax '#e >= 5' checks that the event variable $e occurs 5 or more times within the match window. Reference: https://cloud.google.com/chronicle/docs/detection/yara-l-2-0-syntax"
GCP PSOE,Your security team suspects lateral movement within your Google Cloud environment. A compromised VM in the production subnet may be attempting to communicate with servers in other subnets that it should not normally access. You need to identify VMs that have established unexpected connections to multiple subnets within the past 24 hours using VPC Flow Logs exported to BigQuery. Which query approach should you use?,"Query the VPC Flow Logs table in BigQuery and use GROUP BY on jsonPayload.connection.src_ip to count distinct destination subnets, filtering for internal RFC1918 addresses and aggregating by source VM.",Query the VPC Flow Logs table in BigQuery and filter for jsonPayload.reporter='DEST' to capture all incoming traffic volumes sorted by bytes_sent.,Query the VPC Flow Logs table in BigQuery and use DISTINCT on jsonPayload.connection.dest_ip to find all external IP addresses contacted by any VM in the last 24 hours.,Query the VPC Flow Logs table in BigQuery and use COUNT(*) on all flow records grouped by timestamp to identify traffic spikes during off-peak hours.,1,"To detect lateral movement, you need to identify source IPs communicating with an abnormally high number of destination subnets. Grouping by source IP and counting distinct destination subnets reveals VMs scanning or connecting to multiple network segments, which is a key indicator of lateral movement. Reference: https://cloud.google.com/vpc/docs/flow-logs"
