GCP PSOE,You have configured Identity-Aware Proxy for a web application behind a global Application Load Balancer. Users report they can access the application even when not meeting the access level requirements. You need to troubleshoot this issue. What should you verify first?,"Verify that the backend VMs have public IP addresses disabled, since IAP cannot enforce access policies when backends are directly accessible.","Verify that the IAP OAuth consent screen is configured for external users, which is required for access level conditions to be properly evaluated.","Verify that the access level is set in the organizational access policy, not a scoped project or folder policy, since IAP only supports organization-level access levels.",Verify that Cloud Armor security policies are configured on the load balancer to work in conjunction with IAP access level enforcement.,3,"IAP requires access levels to be set in the organizational access policy. Scoped policies (at project or folder level) are not supported by IAP. If access levels are defined in scoped policies, IAP cannot enforce them, causing the observed behavior. Reference: https://cloud.google.com/iap/docs/cloud-iap-context-aware-access-howto"
GCP PSOE,"Your security team needs to be notified immediately when specific critical security events appear in Cloud Audit Logs, such as when a service account key is created or when IAM permissions are modified. You want to configure alerting that directly scans log entries and extracts relevant field data to include in notifications. What should you do?",Configure Cloud Monitoring to monitor the system-defined log_entry_count metric and filter by the specific log types.,Create a log-based counter metric and configure an alerting policy with a threshold of 1.,Create a log-based alerting policy using Logs Explorer with label extraction configured via the Monitoring API.,Configure a SQL-based alerting policy using Log Analytics to run queries every minute.,3,Log-based alerting policies scan individual log entries for specific phrases and can extract data from log entries using the Monitoring API. This approach provides immediate notification when matching entries appear and supports including extracted log data in the notification. Reference: https://cloud.google.com/logging/docs/alerting/log-based-alerts
GCP PSOE,You are configuring an Event Threat Detection custom module to detect when Compute Engine instances are created in unauthorized regions. You plan to use the gcloud CLI to create the custom module. What must you include in the JSON template to ensure the custom module generates findings with appropriate context for your security team?,"Metadata section containing severity level, description, and recommendation fields with your custom values.",A YARA-L rule that defines the detection logic for unauthorized regions alongside the module template.,An API key for the Security Command Center API to authenticate the custom module creation request.,"Detection parameters only, as the metadata is automatically generated based on the module type selected.",1,"The metadata section of the JSON template defines the severity (LOW, MEDIUM, HIGH, or CRITICAL), description of the threat, and recommendation for remediation. Module templates let you define the severity of threats and provide custom remediation steps to help security teams fix issues. This context is essential for proper triage and response. Reference: https://cloud.google.com/security-command-center/docs/use-custom-modules-etd"
GCP PSOE,You want to proactively hunt for threats in your Google Cloud environment by searching historical logs against newly discovered IoCs from threat intelligence feeds. The IoCs were added to Google SecOps after the initial logs were ingested. How should you search for these IoCs in historical event data?,Create a new data ingestion pipeline to re-ingest historical logs so they are matched against the current IoC list.,Configure real-time IoC matching and wait for the next occurrence of the IoCs in new incoming logs.,Export all historical logs to BigQuery and run SQL queries with the IoC values against the exported data.,Run a retrohunt using YARA-L detection rules that include the new IoCs to search across existing data in Google SecOps.,4,"A retrohunt lets you use detection rules to search for detections throughout existing data in Google SecOps. This capability allows you to compare and perform retrohunts of historical event data with newly enriched logs, which is essential for proactive threat hunting when new IoCs are discovered. Reference: https://cloud.google.com/chronicle/docs/detection/run-rule-historical-data"
GCP PSOE,You have built a Looker Studio security dashboard connected to BigQuery containing Security Command Center findings. Executive stakeholders require weekly PDF reports summarizing critical and high severity findings. The reports must be automatically delivered every Monday morning without manual intervention. You need to implement the most efficient solution. What should you do?,Embed the Looker Studio dashboard in an internal web portal and instruct executives to access it directly each Monday to view current findings.,Train an analyst to manually export the dashboard to PDF every Monday and email it to executives using their corporate email client.,Create a Cloud Scheduler job that triggers a Cloud Function to export the dashboard as PDF using the Looker Studio API and email it via SendGrid.,Configure a scheduled delivery in Looker Studio to email a PDF of the dashboard to the executive distribution list with a weekly recurrence set for Monday mornings.,4,"Looker Studio's scheduled delivery feature automates the generation and distribution of PDF reports at specified intervals. This built-in capability eliminates manual effort and ensures stakeholders receive consistent, timely security reports. Filters can be applied to focus on critical and high severity findings. Reference: https://cloud.google.com/looker/docs/studio/schedule-automatic-report-delivery"
GCP PSOE,You are implementing a threat detection solution that correlates IAM audit logs stored in BigQuery with threat intelligence data. The solution must support both ad-hoc analyst queries and automated scheduled detections that generate alerts. You need to minimize query costs while ensuring detection queries run efficiently against 90 days of log data. What should you do?,Use BigQuery BI Engine to accelerate all queries against the log table and create materialized views that pre-compute threat intelligence matches across the full 90-day dataset.,Store threat intelligence indicators as a BigQuery user-defined function (UDF) and call the function in detection queries to avoid JOIN operations against the threat intelligence table.,Configure the sink to route logs to a BigQuery dataset with a 90-day default table expiration and rely on BigQuery automatic optimization for query performance.,"Partition the log table by timestamp, create a clustered table on principalEmail and callerIp columns, and use scheduled queries with partition filters that JOIN against the threat intelligence table for detection.",4,"Time-based partitioning limits scanned data to relevant date ranges, clustering on frequently filtered columns improves query performance, and scheduled queries with partition filters ensure cost-effective recurring detections. This configuration optimizes both ad-hoc and automated query patterns. Reference: https://cloud.google.com/bigquery/docs/clustered-tables"
GCP PSOE,"Your organization is planning to deploy VPC Service Controls to protect sensitive BigQuery datasets and Cloud Storage buckets. Before enforcing the perimeter, you need to test the configuration to identify potential issues without disrupting production workloads. What should you do?","Configure the service perimeter in dry run mode to log violations without blocking access, then analyze the logged violations before enforcing the perimeter.",Use Cloud IAM Policy Analyzer to simulate perimeter violations before deploying the VPC Service Controls configuration.,Deploy a copy of your production environment and configure an enforced perimeter against the test environment to simulate the expected behavior.,Create the perimeter in enforced mode during off-peak hours and monitor Cloud Audit Logs for access denied errors to identify configuration issues.,1,Dry run mode logs violations as though the perimeter is enforced but does not prevent access to restricted services. This allows you to identify and resolve potential issues before enabling enforcement. Reference: https://cloud.google.com/vpc-service-controls/docs/dry-run-mode
GCP PSOE,"During an active security incident investigation, your team identifies a compromised service account that has elevated permissions across multiple projects. You need to immediately prevent this service account from performing any actions while your forensic team investigates. You want to implement a solution that cannot be overridden by any allow policies. What should you do?",Create an IAM deny policy at the organization level that denies all permissions to the compromised service account.,Remove all IAM role bindings from the service account across all projects where it has access.,Disable the service account key and delete the service account from the project where it was created.,Apply a VPC Service Controls perimeter around all projects to block API access from the compromised service account.,1,IAM deny policies override any IAM allow policies and take precedence regardless of what roles are granted to the principal. Attaching the deny policy at the organization level ensures the service account is blocked across all projects. Reference: https://cloud.google.com/iam/docs/deny-overview
GCP PSOE,"Threat hunting""You are building a YARA-L detection rule in Google Security Operations (SecOps) to hunt for threats involving rare or low-prevalence domains accessed by multiple hosts within your environment. You want to optimize the rule for performance and detection accuracy. Which best practice should you follow?",Configure the rule to run only once per day to minimize resource consumption and avoid overwhelming the detection engine.,Omit event type filters to ensure comprehensive coverage across all log sources and maximize threat detection capability.,Place regular expression filters before equality comparisons in the events section to leverage pattern matching optimizations.,Add event type filters at the beginning of the events section to reduce the number of events the rule evaluates and improve performance.,4,"If a YARA-L rule only detects on UDM events of a certain type, adding an event type filter helps optimize the rule by reducing the number of events it needs to evaluate. Google recommends placing these filters at the beginning of the events section for best performance. Reference: https://cloud.google.com/chronicle/docs/detection/yara-l-best-practices"
GCP PSOE,"Your organization wants to create a custom Cloud Monitoring dashboard that displays real-time counts of Security Command Center (SCC) findings by severity level. You need to visualize trends in security findings over time, such as the number of critical and high-severity findings detected per hour. What should you do?","Create log-based metrics in Cloud Logging that filter SCC findings by severity, then add metric widgets to a custom Cloud Monitoring dashboard to visualize these metrics over time.","Configure continuous exports from SCC to Pub/Sub, then use BigQuery streaming to directly populate Cloud Monitoring dashboards with severity metrics.","Use the built-in SCC Risk Overview page, which already provides severity-based visualizations, and embed the page directly into Cloud Monitoring.","Enable SCC Premium tier metrics export, which automatically sends finding counts to Cloud Monitoring dashboards without additional configuration.",1,"Log-based metrics allow you to extract numerical data from SCC findings logs, including counts by severity. You can create counter metrics that count entries matching specific criteria such as severity level. These metrics are automatically ingested by Cloud Monitoring and can be visualized in custom dashboards as time-series charts. Reference: https://cloud.google.com/logging/docs/logs-based-metrics"
